,Unnamed: 0,name,职业素养,通用能力,职业技能
0,0,机器学习工程师,,,
1,1,基金研究员,,,
2,2,人力系统管理员,,,
3,3,典当业务经理,,,
4,4,保险精算师,,,
5,5,水/陆/空运操作员,,,
6,6,网站架构设计师,,,
7,7,资金主管,,,
8,8,初级财务管理,,,
9,9,渠道销售,,,
10,10,招聘专员,,,
11,11,大数据架构师,,,
12,12,咨询项目经理,,,
13,13,绩效考核总监,,,
14,14,商务经理,,,
15,15,市场策划经理,,,
16,16,陈列员,,,
17,17,培训师,,,
18,18,咨询专员,,,
19,19,数据运营,,,
20,20,招聘主管,,,
21,21,酒店大堂经理,,,
22,22,证券投资经理,,,
23,23,银行行长,,,
24,24,ETL开发工程师,,,
25,25,维修工程师,,,
26,26,市场拓展主管,,,
27,27,税务经理,,,
28,28,会务专员,,,
29,29,部门主管,,,
30,30,市场拓展经理,,,
31,31,咨询顾问,,,
32,32,客服专员,,,
33,33,审计主管,,,
34,34,销售行政经理,,,
35,35,社群运营,,,
36,36,市场策划专员,,,
37,37,期货分析师,,,
38,38,销售经理,,,
39,39,绩效考核专员,,,
40,40,会务主管,,,
41,41,网络运营专员,,,
42,42,客服主管,,,
43,43,营销主管,,,
44,44,行政经理,,,
45,45,证券销售经理,,,
46,46,金融咨询经理,,,
47,47,大堂经理,,,
48,48,培训主管,,,
49,49,中级财务管理,,,
50,50,网络运营主管,,,
51,51,档案管理员,,,
52,52,文案编辑,,,
53,53,审计专员,,,
54,54,文案策划专员,,,
55,55,数据分析主管,,,
56,56,绩效考核主管,,,
57,57,电商总监,,,
58,58,税务总监,,,
59,59,收银员,,,
60,60,行政助理,,,
61,61,投资VP,,,
62,62,招聘经理,,,
63,63,内容主编,,,
64,64,投资总监,,,
65,65,运营专员,,,
66,66,门店助理,,,
67,67,拍卖师,,,
68,68,清算专员,,,
69,69,信贷主管,,,
70,70,绩效考核经理,,,
71,71,期货投资经理,,,
72,72,人力资源主管,,,
73,73,风控管理,,,
74,74,推广专员,,,
75,75,会务经理,,,
76,76,数据建模工程师,,,
77,77,平面设计师,,,
78,78,电商专员,,,
79,79,数据仓库工程师,,,
80,80,营销经理,,,
81,81,品牌总监,,,
82,82,运输经理,,,
83,83,用户研究员,,,
84,84,门店经理,,,
85,85,业务员,,,
86,86,量化投资经理,,,
87,87,商家运营,,,
88,88,电商主管,,,
89,89,前台领班,,,
90,90,资金经理,,,
91,91,网络销售,,,
92,92,初级会计,,,
93,93,人力资源专员,,,
94,94,渠道经理,,,
95,95,投资经理,,,
96,96,运输主管,,,
97,97,防损员,,,
98,98,餐厅领班,,,
99,99,金融咨询专员,,,
