职业名称,answer
运输总监,"专业素养能力：
专业知识能力：运输规划、供应链管理、运输成本控制、运输安全、运输法规
综合分析能力：数据分析、问题识别、绩效评估、决策制定、方案优化
行业洞察力：市场趋势、竞争对手、业务模式、新兴技术、可持续发展
沟通协调能力：团队合作、利益相关者管理、跨部门协作、谈判技巧、供应商关系
创新思维能力：流程改进、效率提升、成本节约、风险管理、业务优化
项目管理能力：计划制定、资源调配、进度控制、问题解决、风险管理
跨文化管理能力：跨国业务、多国团队、国际合作、文化适应、语言沟通
领导力：目标设定、团队激励、决策执行、变革管理、人才发展
业务意识能力：市场需求、客户关系、产品特性、供应链整合、品牌价值
10.风险防范能力：危机管理、突发事件应对、供应链韧性、安全保障、风险评估
通用能力：
沟通能力：口头表达、书面沟通、听力理解、沟通技巧、影响力
解决问题能力：问题识别、分析思考、创新思维、解决方案、决策能力
时间管理能力：任务优先级、计划安排、时间分配、工作效率、紧急情况处理
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
建立关系能力：人际交往、建立信任、网络拓展、影响力、合作伙伴关系
自我管理能力：自我激励、目标设定、自我反馈、持续学习、情绪管理
跨部门协作能力：跨职能合作、资源整合、信息共享、冲突解决、协调沟通
弹性适应能力：灵活性、变革适应、应变能力、压力管理、快速学习
创造力：创新思维、问题解决、新颖观点、想象力、灵感发现
10.领导力：影响他人、激励团队、决策能力、目标设定、反馈指导
专业技能：
运输计划编制、货物装载、运输线路选择、配送路线规划、运力调度
运输成本核算、费用管理、运费谈判、成本控制、费用分析
运输安全管理、风险评估、事故应急、保险理赔、安全培训
运输法规遵守、许可证申请、合规审核、法律合规、证件管理
运输数据分析、KPI指标制定、绩效评估、数据可视化、运输报表
货物跟踪追踪、运输信息系统、物流追踪技术、仓储管理系统、GPS定位
运输市场分析、竞争对手研究、市场需求预测、客户分析、供需平衡
供应链管理、供应商评估、合同管理、库存管理、物料采购
运输优化策略、运输网络设计、运输模式选择、配送优化、线路规划
10.运输合同谈判、合同管理、风险评估、法律知识、合同条款"
客运司机,"专业素养能力：
驾驶技能能力：安全驾驶、精准操控、规范操作、应急处理、车辆维护
路线规划能力：导航使用、道路认知、交通规划、路况判断、行程安排
客户服务能力：礼貌待客、沟通技巧、问题解决、服务意识、乘客安全
专业知识能力：交通法规、驾驶规范、车辆维修、危险品运输、应急救援
知识更新能力：行业动态、新技术应用、安全知识、服务标准、操作规程
紧急情况处理能力：事故应急、故障排除、乘客疏散、急救技能、安全防范
知觉决策能力：路况判断、风险识别、安全隐患、驾驶环境、应急处理
责任意识能力：遵守纪律、安全意识、安全行为、乘客保障、职业操守
疲劳驾驶防范能力：疲劳监测、休息计划、疲劳驾驶规避、身体保养、警觉性
10.危险品运输能力：运输规范、危险品识别、防护措施、急救应对、报警程序
通用能力：
沟通能力：语言表达、倾听技巧、礼貌待人、乘客引导、信息传递
解决问题能力：应急处理、故障排除、路线调整、客户投诉、纠纷调解
时间管理能力：行程安排、准时出发、时间估算、任务分配、班次调度
紧张应对能力：压力控制、冷静应对、紧急反应、灵活处置、危机处理
团队合作能力：协作配合、团队精神、同事支持、信息共享、互助合作
自我管理能力：自我调节、情绪控制、工作计划、自我学习、个人形象
安全意识能力：危险预见、紧急情况、安全教育、风险评估、安全报告
灵活适应能力：变化适应、路线调整、气候应对、工作调度、车辆更换
社交技巧能力：客户沟通、乘客关系、冲突处理、服务态度、人际交往
10.服务意识能力：乘客满意、乘客需求、服务质量、乘客安全、专业礼仪
专业技能：
驾驶技巧、导航使用、交通法规、安全驾驶、车辆维修
乘客安全、服务意识、礼貌待客、问题解决、乘客引导
道路认知、路况判断、行程安排、交通规划、车辆维护
疲劳驾驶、事故应急、故障排除、急救技能、安全防范
行业动态、安全知识、服务标准、驾驶规范、操作规程
紧急处理、乘客疏散、安全隐患、路况判断、风险识别
遵守纪律、安全意识、安全行为、职业操守、乘客保障
身体保养、疲劳监测、休息计划、疲劳驾驶规避、警觉性
危险品运输、运输规范、危险品识别、防护措施、急救应对
10.沟通技巧、应急处理、故障排除、路线调整、客户投诉"
机动车教练,"专业素养能力：
教学知识能力：交通法规、驾驶规范、教学方法、教学理论、安全意识
沟通能力：语言表达、倾听技巧、互动引导、指导反馈、有效沟通
学员管理能力：学员评估、进度控制、学习计划、学习跟踪、学员激励
专业操守能力：职业道德、规范操作、行为规范、法律遵守、道德约束
知识更新能力：教育动态、教学方法改进、驾考信息、教材研究、教学资源
路况判断能力：道路认知、交通预判、安全隐患、交通规划、安全驾驶
理论实践结合能力：教学案例、模拟训练、实际操作、教学实践、案例分析
教学技巧能力：示范教学、辅助教学、问题解答、教学模式、学习引导
教学评估能力：学习效果评估、教学质量评估、学员能力评估、教学改进、教学成果
10.安全意识培养能力：危险防范、事故预防、安全教育、安全指导、安全意识
通用能力：
沟通能力：口头表达、听力理解、沟通技巧、信息传递、理解学员需求
解决问题能力：问题识别、分析思考、解决方案、决策能力、应对突发情况
时间管理能力：教学计划、任务安排、进度控制、时间分配、应对紧急情况
学员关系管理能力：建立信任、个体差异、学员激励、冲突处理、学员指导
自我管理能力：自我激励、目标设定、自我反馈、持续学习、情绪管理
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
灵活适应能力：变化适应、教学环境调整、应对不同学员、灵活教学方法、适应需求变化
建立关系能力：人际交往、师生关系、信任建立、情感互动、正面影响力
教学资源管理能力：教材选择、多媒体运用、教具准备、学习资源整合、信息筛选
10.问题分析能力：学员问题分析、教学问题分析、教学效果评估、案例分析、教学反思
专业技能：
教学方法、交通法规、驾驶规范、教学理论、安全意识
语言表达、倾听技巧、互动引导、指导反馈、有效沟通
学员评估、进度控制、学习计划、学习跟踪、学员激励
职业道德、规范操作、行为规范、法律遵守、道德约束
教育动态、教学方法改进、驾考信息、教材研究、教学资源
道路认知、交通预判、安全隐患、交通规划、安全驾驶
示范教学、辅助教学、问题解答、教学模式、学习引导
学习效果评估、教学质量评估、学员能力评估、教学改进、教学成果
危险防范、事故预防、安全教育、安全指导、安全意识
10.口头表达、听力理解、沟通技巧、信息传递、理解学员需求"
客运乘务员,"专业素养能力：
服务意识能力：乘客满意、乘客需求、服务质量、乘客安全、专业礼仪
社交技巧能力：客户沟通、乘客关系、冲突处理、服务态度、人际交往
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
沟通能力：口头表达、倾听技巧、互动引导、指导反馈、有效沟通
紧急处理能力：应急处理、危机应对、急救技能、决策能力、冷静应对
乘客安全能力：安全意识、安全行为、安全检查、风险识别、应急预案
乘客服务能力：问题解决、乘客引导、乘客满意、热情服务、个性化需求
礼仪规范能力：形象仪态、专业礼仪、文明用语、仪容仪表、形象塑造
文化敏感能力：多元文化、跨文化沟通、文化适应、文化尊重、文化差异
10.信息处理能力：信息记录、信息传递、数据分析、信息安全、信息反馈
通用能力：
沟通能力：口头表达、听力理解、沟通技巧、信息传递、理解乘客需求
解决问题能力：问题识别、分析思考、解决方案、决策能力、应对突发情况
时间管理能力：任务安排、进度控制、时间分配、应对紧急情况、时间规划
学习能力：持续学习、自我提升、学习适应性、知识更新、学习资源利用
紧急应变能力：应急反应、冷静处理、协调安排、应对不确定性、应变能力
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
灵活适应能力：变化适应、工作环境调整、应对乘客需求、灵活工作安排、适应压力
服务导向能力：乘客关注、需求识别、服务满意度、关注细节、用户体验
自我管理能力：自我激励、目标设定、自我反馈、情绪管理、工作积极性
10.责任心能力：职业操守、工作责任、乘客安全、保密义务、服务质量
专业技能：
乘务服务、应急处理、服务质量、冲突处理、礼仪规范
客户沟通、乘客关系、问题解决、服务态度、人际交往
协作能力、团队精神、角色协调、冲突管理、分享知识
口头表达、倾听技巧、互动引导、指导反馈、有效沟通
应急处理、危机应对、急救技能、决策能力、冷静应对
安全意识、安全行为、安全检查、风险识别、应急预案
问题解决、乘客引导、乘客满意、热情服务、个性化需求
形象仪态、专业礼仪、文明用语、仪容仪表、形象塑造
多元文化、跨文化沟通、文化适应、文化尊重、文化差异
10.信息记录、信息传递、数据分析、信息安全、信息反馈"
高铁乘务员,"专业素养能力：
服务意识能力：乘客满意、乘客需求、服务质量、乘客安全、专业礼仪
社交技巧能力：客户沟通、乘客关系、冲突处理、服务态度、人际交往
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
沟通能力：口头表达、倾听技巧、互动引导、指导反馈、有效沟通
紧急处理能力：应急处理、危机应对、急救技能、决策能力、冷静应对
乘客安全能力：安全意识、安全行为、安全检查、风险识别、应急预案
乘客服务能力：问题解决、乘客引导、乘客满意、热情服务、个性化需求
礼仪规范能力：形象仪态、专业礼仪、文明用语、仪容仪表、形象塑造
文化敏感能力：多元文化、跨文化沟通、文化适应、文化尊重、文化差异
10.信息处理能力：信息记录、信息传递、数据分析、信息安全、信息反馈
通用能力：
沟通能力：口头表达、听力理解、沟通技巧、信息传递、理解乘客需求
解决问题能力：问题识别、分析思考、解决方案、决策能力、应对突发情况
时间管理能力：任务安排、进度控制、时间分配、应对紧急情况、时间规划
学习能力：持续学习、自我提升、学习适应性、知识更新、学习资源利用
紧急应变能力：应急反应、冷静处理、协调安排、应对不确定性、应变能力
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
灵活适应能力：变化适应、工作环境调整、应对乘客需求、灵活工作安排、适应压力
服务导向能力：乘客关注、需求识别、服务满意度、关注细节、用户体验
自我管理能力：自我激励、目标设定、自我反馈、情绪管理、工作自律
10.团队协作能力：团队合作、角色协调、共享信息、协调安排、相互支持
专业技能：
乘务服务、应急处理、服务质量、冲突处理、礼仪规范
客户沟通、乘客关系、问题解决、服务态度、人际交往
协作能力、团队精神、角色协调、冲突管理、分享知识
口头表达、倾听技巧、互动引导、指导反馈、有效沟通
应急处理、危机应对、急救技能、决策能力、冷静应对
安全意识、安全行为、安全检查、风险识别、应急预案
问题解决、乘客引导、乘客满意、热情服务、个性化需求
形象仪态、专业礼仪、文明用语、仪容仪表、形象塑造
多元文化、跨文化沟通、文化适应、文化尊重、文化差异
10.信息记录、信息传递、数据分析、信息安全、信息反馈"
列车站务员,"专业素养能力：
服务意识能力：旅客满意、服务质量、旅客安全、协助乘客、专业礼仪
沟通能力：客户沟通、旅客关系、问题解决、服务态度、人际交往
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
沟通表达能力：口头表达、倾听技巧、互动引导、指导反馈、有效沟通
应急处理能力：应急处理、危机应对、急救技能、决策能力、冷静应对
安全意识能力：安全意识、安全行为、安全检查、风险识别、应急预案
问题解决能力：问题解决、乘客引导、乘客满意、热情服务、个性化需求
形象仪态能力：形象仪态、专业礼仪、文明用语、仪容仪表、形象塑造
跨文化沟通能力：多元文化、跨文化沟通、文化适应、文化尊重、文化差异
10.信息处理能力：信息记录、信息传递、数据分析、信息安全、信息反馈
通用能力：
沟通能力：口头表达、听力理解、沟通技巧、信息传递、理解旅客需求
解决问题能力：问题识别、分析思考、解决方案、决策能力、应对突发情况
时间管理能力：任务安排、进度控制、时间分配、应对紧急情况、时间规划
学习能力：持续学习、自我提升、学习适应性、知识更新、学习资源利用
紧急应变能力：应急反应、冷静处理、协调安排、应对不确定性、应变能力
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
灵活适应能力：变化适应、工作环境调整、应对旅客需求、灵活工作安排、适应压力
服务导向能力：旅客关注、需求识别、服务满意度、关注细节、用户体验
自我管理能力：自我激励、目标设定、自我反馈、情绪管理、个人效能
10.团队领导能力：领导沟通、协调安排、激励团队、决策能力、目标达成
专业技能：
客运服务、应急处理、服务质量、冲突处理、礼仪规范
客户沟通、旅客关系、问题解决、服务态度、人际交往
协作能力、团队精神、角色协调、冲突管理、分享知识
口头表达、倾听技巧、互动引导、指导反馈、有效沟通
应急处理、危机应对、急救技能、决策能力、冷静应对
安全意识、安全行为、安全检查、风险识别、应急预案
问题解决、乘客引导、乘客满意、热情服务、个性化需求
形象仪态、专业礼仪、文明用语、仪容仪表、形象塑造
多元文化、跨文化沟通、文化适应、文化尊重、文化差异
10.信息处理、信息传递、数据分析、信息安全、信息反馈"
港口客运员,"专业素养能力：
服务意识能力：旅客满意、服务质量、旅客安全、协助乘客、专业礼仪
沟通能力：客户沟通、旅客关系、问题解决、服务态度、人际交往
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
沟通表达能力：口头表达、倾听技巧、互动引导、指导反馈、有效沟通
应急处理能力：应急处理、危机应对、急救技能、决策能力、冷静应对
安全意识能力：安全意识、安全行为、安全检查、风险识别、应急预案
问题解决能力：问题解决、乘客引导、乘客满意、热情服务、个性化需求
形象仪态能力：形象仪态、专业礼仪、文明用语、仪容仪表、形象塑造
跨文化沟通能力：多元文化、跨文化沟通、文化适应、文化尊重、文化差异
10.信息处理能力：信息记录、信息传递、数据分析、信息安全、信息反馈
通用能力：
沟通能力：口头表达、听力理解、沟通技巧、信息传递、理解旅客需求
解决问题能力：问题识别、分析思考、解决方案、决策能力、应对突发情况
时间管理能力：任务安排、进度控制、时间分配、应对紧急情况、时间规划
学习能力：持续学习、自我提升、学习适应性、知识更新、学习资源利用
紧急应变能力：应急反应、冷静处理、协调安排、应对不确定性、应变能力
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
灵活适应能力：变化适应、工作环境调整、应对旅客需求、灵活工作安排、适应压力
服务导向能力：旅客关注、需求识别、服务满意度、关注细节、用户体验
自我管理能力：自我激励、目标设定、自我反馈、情绪管理、个人效能
10.团队领导能力：领导沟通、协调安排、激励团队、决策能力、目标达成
专业技能：
港口业务知识、船舶操作、货物装卸、码头作业、安全操作
港口服务、旅客管理、乘客登船、检票核验、行李托运
安全检查、紧急疏散、危险品管理、应急预案、风险识别
环境保护、港口清洁、垃圾处理、卫生维护、资源节约
旅客信息查询、票务管理、售票服务、退票处理、座位安排
乘务服务、旅客引导、应急处理、突发事件、紧急救助
通信设备操作、无线电通讯、应急呼叫、通讯技术、信息传递
场站管理、安全监控、设备操作、维护保养、现场指挥
旅客咨询、投诉处理、客户服务、问题解决、满意度调查
10.协调安排、信息处理、数据分析、报表编制、业务统计"
空中乘务员,"专业素养能力：
服务意识能力：旅客满意、服务质量、旅客安全、协助乘客、专业礼仪
沟通能力：客户沟通、旅客关系、问题解决、服务态度、人际交往
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
沟通表达能力：口头表达、倾听技巧、互动引导、指导反馈、有效沟通
应急处理能力：应急处理、危机应对、急救技能、决策能力、冷静应对
安全意识能力：安全意识、安全行为、安全检查、风险识别、应急预案
问题解决能力：问题解决、乘客引导、乘客满意、热情服务、个性化需求
形象仪态能力：形象仪态、专业礼仪、文明用语、仪容仪表、形象塑造
跨文化沟通能力：多元文化、跨文化沟通、文化适应、文化尊重、文化差异
信息处理能力：信息记录、信息传递、数据分析、信息安全、信息反馈
通用能力：
沟通能力：口头表达、听力理解、沟通技巧、信息传递、理解旅客需求
解决问题能力：问题识别、分析思考、解决方案、决策能力、应对突发情况
时间管理能力：任务安排、进度控制、时间分配、应对紧急情况、时间规划
学习能力：持续学习、自我提升、学习适应性、知识更新、学习资源利用
紧急应变能力：应急反应、冷静处理、协调安排、应对不确定性、应变能力
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
灵活适应能力：变化适应、工作环境调整、应对旅客需求、灵活工作安排、适应压力
服务导向能力：旅客关注、需求识别、服务满意度、关注细节、用户体验
自我管理能力：自我激励、目标设定、自我反馈、情绪管理、个人效能
组织协调能力：行程安排、资源协调、多任务处理、时间管理、协调能力
专业技能：
安全知识、飞行规程、紧急程序、救生技能、应急处理
乘客服务、行李管理、座位安排、票务处理、旅客登机
飞行常识、航空知识、航空器认知、机舱操作、航空安全
紧急疏散、危险品管理、安全检查、应急预案、风险识别
紧急呼叫、通信技术、无线电通讯、信息传递、通信设备操作
服务质量、客户满意、问题解决、服务反馈、投诉处理
旅行服务、行程安排、旅游信息、目的地介绍、文化解说
语言能力、多语种服务、口译翻译、语言沟通、外语应用
餐饮服务、食品安全、饮食卫生、餐食配送、餐品推荐
10.团队合作、协作能力、团队精神、角色协调、团队协调"
地勤人员,"专业素养能力：
服务意识能力：旅客满意、服务质量、旅客安全、协助乘客、专业礼仪
沟通能力：客户沟通、旅客关系、问题解决、服务态度、人际交往
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
沟通表达能力：口头表达、倾听技巧、互动引导、指导反馈、有效沟通
应急处理能力：应急处理、危机应对、急救技能、决策能力、冷静应对
安全意识能力：安全意识、安全行为、安全检查、风险识别、应急预案
问题解决能力：问题解决、乘客引导、乘客满意、热情服务、个性化需求
形象仪态能力：形象仪态、专业礼仪、文明用语、仪容仪表、形象塑造
跨文化沟通能力：多元文化、跨文化沟通、文化适应、文化尊重、文化差异
信息处理能力：信息记录、信息传递、数据分析、信息安全、信息反馈
通用能力：
沟通能力：口头表达、听力理解、沟通技巧、信息传递、理解旅客需求
解决问题能力：问题识别、分析思考、解决方案、决策能力、应对突发情况
时间管理能力：任务安排、进度控制、时间分配、应对紧急情况、时间规划
学习能力：持续学习、自我提升、学习适应性、知识更新、学习资源利用
紧急应变能力：应急反应、冷静处理、协调安排、应对不确定性、应变能力
团队合作能力：协作能力、团队精神、角色协调、冲突管理、分享知识
灵活适应能力：变化适应、工作环境调整、应对旅客需求、灵活工作安排、适应压力
服务导向能力：旅客关注、需求识别、服务满意度、关注细节、用户体验
自我管理能力：自我激励、目标设定、自我反馈、情绪管理、职业规划
团队领导能力：团队协调、激励指导、决策能力、问题解决、有效沟通
专业技能：
机务操作技能：航空器检查、设备操作、维护知识、应急处理、设备维修
安全检查技能：安全规程、检查流程、安全设备、安全标准、安全风险评估
行李处理技能：行李安全、行李托运、行李分拣、行李装载、行李索赔
登机引导技能：登机流程、乘客引导、座位指引、登机顺序、仪态仪表
票务处理技能：票务系统、机票预订、售票流程、退票处理、改签手续
乘客服务技能：礼仪待客、个性化服务、乘客关怀、投诉处理、问题解决
座舱操作技能：仪表操作、客舱设备、紧急设备、座椅调整、客舱清洁
紧急疏散技能：紧急疏散、生存逃生、救生器材、应急设备、紧急事故处理
旅客安全技能：安全意识、安全知识、风险识别、应急预案、紧急处理
10.数据管理技能：信息记录、数据分析、统计报表、信息保密、数据维护"
飞机机长,"专业素养能力：
飞行安全能力：飞行安全意识、风险管理、紧急处置、飞行安全规范、飞行程序
领导决策能力：团队管理、决策能力、资源调配、指挥协调、应急处置
航空知识能力：航空法规、机型知识、气象知识、航行计划、航空术语
气象分析能力：天气预报、气象数据解读、天气风险评估、气象影响分析、航线选择
飞行技术能力：起降操作、飞行操纵、仪表飞行、自动驾驶、飞行监控
紧急救援能力：紧急状况处理、救援技术、急救知识、生存训练、危险物处理
协调沟通能力：团队协作、机组沟通、航管协调、紧急通信、问题解决
跨文化管理能力：文化差异、多元团队、文化适应、国际规范、跨文化沟通
指挥协调能力：任务指挥、航班调度、资源协调、指挥决策、紧急响应
应急处理能力：应急响应、危机管理、故障处理、飞机故障、紧急情况
通用能力：
沟通能力：口头表达、听力理解、沟通技巧、信息传递、团队协作
决策能力：问题分析、方案评估、决策执行、风险评估、应急处理
领导能力：团队管理、激励指导、冲突管理、目标设定、资源管理
时间管理能力：任务安排、进度控制、时间分配、应对压力、计划管理
学习能力：持续学习、自我提升、知识更新、技术研究、行业动态
紧急应变能力：应急反应、冷静处理、协调安排、应对不确定性、灵活应变
团队合作能力：协作能力、团队精神、角色协调、冲突解决、分享知识
督促监督能力：操作监控、绩效评估、合规监督、质量控制、安全监测
创新能力：创新思维、问题解决、改进提升、技术创新、流程优化
10.沉着冷静能力：压力管理、情绪控制、应对紧急、逻辑思考、决策稳定
专业技能：
飞行操纵技能：起降操作、机动飞行、空中导航、低能见度飞行、高原飞行
飞行计划技能：航线选择、飞行高度、燃油计划、飞行时间、备降计划
机务操作技能：机型操作、仪表检查、机械故障排除、设备操作、维修知识
应急处理技能：紧急状况处理、救援程序、紧急着陆、火警处理、救生设备
管理技能：飞行管理、机组调度、资源调配、任务安排、工作协调
通信导航技能：航行通信、导航设备操作、雷达应用、通信程序、导航流程
气象识别技能：天气观察、气象报告解读、天气影响评估、冰雪识别、雷暴识别
飞行监控技能：仪表监控、飞行数据分析、飞行姿态控制、飞行监视、航路监控
安全管理技能：安全规程、风险评估、安全检查、应急处理、事故调查
10.机组协作技能：机组沟通、资源协调、任务分配、决策协商、工作配合"
